=== 2. PROCESSES & SERVICES ===
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         305  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/57:0H-events_highpri]
root         306  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/58]
root         307  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/58]
root         308  0.0  0.0      0     0 ?        S    Aug07   2:05  \_ [ksoftirqd/58]
root         310  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/58:0H-events_highpri]
root         311  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/59]
root         312  0.0  0.0      0     0 ?        S    Aug07   0:12  \_ [migration/59]
root         313  0.0  0.0      0     0 ?        S    Aug07   1:54  \_ [ksoftirqd/59]
root         315  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/59:0H-events_highpri]
root         316  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/60]
root         317  0.0  0.0      0     0 ?        S    Aug07   0:12  \_ [migration/60]
root         318  0.0  0.0      0     0 ?        S    Aug07   1:52  \_ [ksoftirqd/60]
root         320  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/60:0H-events_highpri]
root         321  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/61]
root         322  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/61]
root         323  0.0  0.0      0     0 ?        S    Aug07   1:51  \_ [ksoftirqd/61]
root         325  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/61:0H-events_highpri]
root         326  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/62]
root         327  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/62]
root         328  0.0  0.0      0     0 ?        S    Aug07   1:51  \_ [ksoftirqd/62]
root         330  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/62:0H-events_highpri]
root         331  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/63]
root         332  0.0  0.0      0     0 ?        S    Aug07   0:14  \_ [migration/63]
root         333  0.0  0.0      0     0 ?        S    Aug07   1:51  \_ [ksoftirqd/63]
root         335  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/63:0H-events_highpri]
root         336  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/64]
root         337  0.0  0.0      0     0 ?        S    Aug07   0:19  \_ [migration/64]
root         338  0.0  0.0      0     0 ?        S    Aug07   2:30  \_ [ksoftirqd/64]
root         340  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/64:0H-events_highpri]
root         341  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/65]
root         342  0.0  0.0      0     0 ?        S    Aug07   0:17  \_ [migration/65]
root         343  0.0  0.0      0     0 ?        S    Aug07   2:20  \_ [ksoftirqd/65]
root         345  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/65:0H-events_highpri]
root         346  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/66]
root         347  0.0  0.0      0     0 ?        S    Aug07   0:16  \_ [migration/66]
root         348  0.0  0.0      0     0 ?        S    Aug07   2:14  \_ [ksoftirqd/66]
root         350  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/66:0H-events_highpri]
root         351  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/67]
root         352  0.0  0.0      0     0 ?        S    Aug07   0:16  \_ [migration/67]
root         353  0.0  0.0      0     0 ?        S    Aug07   2:08  \_ [ksoftirqd/67]
root         355  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/67:0H-events_highpri]
root         356  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/68]
root         357  0.0  0.0      0     0 ?        S    Aug07   0:15  \_ [migration/68]
root         358  0.0  0.0      0     0 ?        S    Aug07   2:02  \_ [ksoftirqd/68]
root         360  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/68:0H-events_highpri]
root         361  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/69]
root         362  0.0  0.0      0     0 ?        S    Aug07   0:14  \_ [migration/69]
root         363  0.0  0.0      0     0 ?        S    Aug07   1:59  \_ [ksoftirqd/69]
root         365  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/69:0H-events_highpri]
root         366  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/70]
root         367  0.0  0.0      0     0 ?        S    Aug07   0:15  \_ [migration/70]
root         368  0.0  0.0      0     0 ?        S    Aug07   2:00  \_ [ksoftirqd/70]
root         370  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/70:0H-events_highpri]
root         371  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/71]
root         372  0.0  0.0      0     0 ?        S    Aug07   0:15  \_ [migration/71]
root         373  0.0  0.0      0     0 ?        S    Aug07   1:59  \_ [ksoftirqd/71]
root         375  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/71:0H-events_highpri]
root         376  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/72]
root         377  0.0  0.0      0     0 ?        S    Aug07   0:14  \_ [migration/72]
root         378  0.0  0.0      0     0 ?        S    Aug07   2:19  \_ [ksoftirqd/72]
root         380  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/72:0H-events_highpri]
root         381  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/73]
root         382  0.0  0.0      0     0 ?        S    Aug07   0:14  \_ [migration/73]
root         383  0.0  0.0      0     0 ?        S    Aug07   2:08  \_ [ksoftirqd/73]
root         385  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/73:0H-events_highpri]
